FID,OBJECTID,EXPEDIENTE,T_PROCESO,NOMBRE,OBSERV,ID_PROC_PT,COOR_ESTE,COOR_NORTE,Georrefere,Fecha,Sitio,Vereda,Georrefe_1,Orientacio,Orientac_1,Cobertura,Curvatura,Distancia_,Distancia1,Distanci_1,DTM,Geologia,Geomorfolo,NDVI,Orientac_2,Rugosidad,Slope,TPI,UGS
35,808, ,"40,000.000000000000000","40,240.000000000000000",SIMMA,AVRP-c10-IS,"4,518,895.110299999800000","1,695,456.854499999900000",Georreferenciado,12/11/2018,Curva Larga, ,Georreferenciado,0.000000000000000,0.000000000000000,12,0.7384370,267.5119934,72.8869019,184.5599976,"2,751.0000000",6,62,0.3374850,42.9803009,177,11.7276001,1.1516100,36
36,809, ,"40,000.000000000000000","40,220.000000000000000",SIMMA,AVRP-f1-IS,"4,522,427.348600000100000","1,687,402.405599999900000",Georreferenciado,16/10/1989,CARRETERA PASTO-TUMACO, ,Georreferenciado,0.000000000000000,0.000000000000000,1,-0.0000000,106.8000031,"1,294.8199463",12.5000000,"2,760.0000000",4,68,0.1343150,-1.0000000,180,0.0000000,-2.5837400,35
37,810, ,"40,000.000000000000000","40,250.000000000000000",SIMMA,AVRP-p1-IS,"4,524,814.237099999600000","1,699,723.922700000000000",Georreferenciado,9/05/2017, ,El Salvador,Georreferenciado,0.000000000000000,0.000000000000000,14,-0.7784370,176.7769928,862.8619995,12.5000000,"2,618.5000000",7,3,0.0812911,240.1670074,182,26.2248993,5.2143602,8
38,811, ,"40,000.000000000000000","60,100.000000000000000",DESINVENTAR,AVRP-i1-IS,"4,524,736.341000000000000","1,694,930.882999999900000",Ubicado,1/03/1943,Río Blanco, ,Ubicado,0.000000000000000,0.000000000000000,1,-0.0917187,115.2440033,"3,155.4799805",291.5480042,"2,638.2500000",7,14,0.0717197,206.7949982,177,2.8053501,-0.7160640,40
39,812, ,"40,000.000000000000000","60,100.000000000000000",DESINVENTAR,AVRP-i2-IS,"4,524,830.864299999500000","1,694,660.952100000100000",Ubicado,3/06/1944,Río Blanco, ,Ubicado,0.000000000000000,0.000000000000000,1,-0.0015625,175.4459991,"3,050.0300293",407.1619873,"2,625.1799316",7,14,0.0626042,251.5079956,187,6.1591101,-2.2202101,40
40,813, ,"40,000.000000000000000","60,100.000000000000000",DESINVENTAR,AVRP-i3-IS,"4,522,528.253600000400000","1,692,011.860900000000000",Ubicado,2/02/1960,Quebrada Mitayo, ,Ubicado,0.000000000000000,0.000000000000000,1,0.0807813,"1,042.3100586","2,490.0100098",27.9507999,"2,582.1398926",23,64,0.0493572,19.8412991,186,5.6516199,0.5366210,47
41,814, ,"40,000.000000000000000","60,100.000000000000000",DESINVENTAR,AVRP-i4-IS,"4,522,526.265800000200000","1,692,021.351000000000000",Ubicado,15/01/1962,zonas urbanas, ,Ubicado,0.000000000000000,0.000000000000000,1,-0.9417190,"1,054.7500000","2,500.0000000",35.3553009,"2,580.8000488",23,64,0.0505569,34.6092987,182,5.0269699,-0.2490230,47
42,815, ,"40,000.000000000000000","40,210.000000000000000",DESINVENTAR,AVRP-d27-IS,"4,522,458.158800000300000","1,692,040.144200000000000",Ubicado,30/01/1970, , ,Ubicado,0.000000000000000,0.000000000000000,1,-0.0000000,"1,074.8499756","2,547.5800781",12.5000000,"2,585.0000000",23,64,0.0539515,-1.0000000,180,0.0000000,1.7541500,47
43,816, ,"40,000.000000000000000","60,100.000000000000000",DESINVENTAR,AVRP-i5-IS,"4,524,557.771099999500000","1,690,378.841400000000000",Ubicado,5/01/1971,Sur de la ciudad, ,Ubicado,0.000000000000000,0.000000000000000,1,-1.0226600,585.2349854,27.9507999,630.5999756,"2,551.9399414",23,64,0.1046400,40.2149010,180,10.5024996,-8.3610802,47
44,817, ,"40,000.000000000000000","60,100.000000000000000",DESINVENTAR,AVRP-i6-IS,"4,524,125.649400000500000","1,693,093.537100000100000",Ubicado,15/01/1971,Río Pasto, ,Ubicado,0.000000000000000,0.000000000000000,1,-0.0000000,97.6280975,"2,329.8701172",341.1839905,"2,515.0000000",7,14,0.0852646,-1.0000000,180,0.0000000,-12.5535002,40
